2020-08-12 13:02:25, So technically PM has empowered the Desuups to act in life threatening situation Bhutan COVID19 coronavirus , kuenzakarma , Desuups Bhutan COVID19 coronavirus ,1382,Thimphu 
2020-08-12 13:00:19, 4300 calls answered in 112 helpline That s huge How many didn t answer Looks like its going to be busier day by day , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:56:34, Loaders managed under protocol to minimize outside interaction with separate accommodation and transportation facilities HPM says at press conference this evening , sangaykhandu , ,7969,Thimphu 
2020-08-12 12:52:56, People after quarantine facilities are advising to stay home at east for ten days PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:49:36, Bhutan doesn t have a recorded community transmission as of now But the line tracing isn t properly completed for the Phuntsholing case so technically no one knows HOW he contacted the virus COVID19 CoronaVirus CoronaTimes , kuenzakarma , Bhutan Phuntsholing COVID19 CoronaVirus CoronaTimes ,1382,Thimphu 
2020-08-12 12:48:49, The Phuntsholing man is in a stable condition Gelephu lady is not even showing symptom PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:47:45, Thank you la xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f https t co U3hz77t4BV , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:47:03, It is not local transmission in technical sense But there s a sign of it But for the health workers it will make big difference in the amount of work We can say the case is still imported from the foreign land We need to see and confirm how he got the virus PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:42:28, The period of lockdown is not known It depends on support and solidarity from all of us If people do not coordinate during the investigation by the health workers it might extend the days PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:41:18, We have to thank those who work at the mini port who have been loading and unloading goods in Phuntsholing PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:39:43, King of Bhutan is a perfect example of truly a great leader a leader with compassion wisdom and awesome grit when required a leader like no other who listens learns and leads and ready to face any challenge Bhutan indeed is blessed to have him May no harm come to Him xf0 x9f x98 xb7 xf0 x9f x99 x8f xf0 x9f x99 x8f https t co W2j1kQqGxr , DziJ , King ,1699,Thimphu 
2020-08-12 12:39:36, A careless person s mistake will undo all our efforts It will undo everything we have achieved so far His Majesty the King Jigme Khesar Namgyel Wangchuck https t co k8V3hqzIMT , GyeltshenChoki , ,8,Thimphu 
2020-08-12 12:39:21, It s not known when the Phuntsholing man was infected It is possible he could have infected a week before possibly from an Indian driver or from Indian friends or from the commodities PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:36:44, A day of concentration and focus lead me to succeed with my problem In cloud nine today xf0 x9f x98 x87 xf0 x9f x98 x87 Now if anybody want to know how to connect two database in spring boot application I can be your tutor xf0 x9f x98 x9c xf0 x9f x98 x9c WorkFromHome springbootapplication java work , ha na 08 , WorkFromHome springbootapplication java work ,796,Thimphu 
2020-08-12 12:34:49, In the villages for example working in your own garden or herding your cattle in the forest collecting mushroom for self consumption is okay But going in group or working in group is not permitted PM , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:30:43, Update 221 primary contacts have been traced so far of the 25 year old COVID 19 positive man from Phuntsholing Contact tracing is still on going COVID 19BHU , MoHBhutan , COVID 19BHU ,1489,Thimphu 
2020-08-12 12:30:17, Final contacts traced for the positive 27 year old woman Gelephu Primary contacts 135 Secondary contacts 204 Note The total number of contacts vary compared to yesterday s because the surveillance team conducted a risk assessment and were therefore screened out , MoHBhutan , ,1489,Thimphu 
2020-08-12 12:28:29, This virus is bit tricky Isn t it It shows negative result yet people are not out of risks Result might change in subsequent days or it might remain negative More worried is community transmission from the Phuntsholing town Looks like number might just keep going up xf0 x9f x98 xad xf0 x9f x98 xad , ChhedupSangay , ,1106,Thimphu 
2020-08-12 12:20:45, NiiNiiFC youneshh MrGeorgeBenson Successfully downloaded and it s not asking any permission , TsheringJatsho , ,15,Thimphu 
2020-08-12 12:19:27, VampireAku Dare , uchiha soma , ,82,Thimphu 
2020-08-12 11:39:19, Update and correction to earlier information shared by authorities the covid19 positive loader worked at RRCO transshipment area and not the mini dry port , sangaykhandu , ,7969,Thimphu 
2020-08-12 11:36:36, Pedo G You too laaaah xf0 x9f x92 x90 xf0 x9f xa4 xa3 , DziJ , ,1699,Thimphu 
2020-08-12 11:16:52, Thank you NiiNiiFC for sending your video through personal email to me Enjoyed watching your video during the time of lockdown Thank you so much xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f , TsheringJatsho , ,15,Thimphu 
2020-08-12 11:09:52, rondelwt Congratulations xf0 x9f x8d xbe , DziJ , ,1699,Thimphu 
2020-08-12 10:28:21, I think increased testing and tracing capacity is the key to curb coronavirus spread in a community xf0 x9f x91 x8f https t co FG9TWUw4Kx , DziJ , ,1699,Thimphu 
2020-08-12 10:11:31, DemaChimmi Though Ofcourse the line is Swift xe2 x80 x99s and not mine , sandeeps13 , ,274,Thimphu 
2020-08-12 10:08:57, DemaChimmi Googling and reading about it , sandeeps13 , ,274,Thimphu 
2020-08-12 10:06:56, thebhutanese Not MDP but at Regional Office premises , PhuntshoWangs , ,31,Thimphu 
2020-08-12 09:57:29, For Thimphu Residents 2550 BMT Happiness House https t co DanPB6LAz7 , bhutan majestic , ,1135,Thimphu 
2020-08-12 09:51:54, Looking forward to the Harris Pence showdown , sandeeps13 , ,274,Thimphu 
2020-08-12 09:47:18, 2nd case outside of quarantine 25 yr old man tested positive on 11th Aug after visiting Phuentshogling hospital with symptoms He is unrelated to woman who tested ve after quarantine Contact tracing is underway Not known at the moment if this is a community transmission , namgayzam , ,23399,Thimphu 
2020-08-12 09:02:37, A sure case of Community Transmission COVID19 Phuntsholing Bhutan a 25 male who is a loader with the Regional Revenue amp Customs Office working at the Mini Dry Port MDP He came to hospital on 11th August with symptoms 183 primary contacts has been traced so far , kuenzakarma , COVID19 Phuntsholing Bhutan ,1382,Thimphu 
2020-08-12 09:02:31, Officials help reunite mother and infant amidst lockdown xf0 x9f x91 x8f xf0 x9f x8f xbd Bhutan https t co sCDkKnEPeF , sangaykhandu , Bhutan ,7969,Thimphu 
