2020-08-26 06:00:38, 2 3 The lockdown amp mass testing due to the Gelephu lady case all tested negative was a blessing Our measures at the border etc have also played an important role in delaying amp curbing spread of the virus buying us important time but it was inevitable it would come one day , TenzingLamsang , ,24246,Thimphu 
2020-08-26 05:59:01, 1 3 While the 23 Community Transmission cases in Phuentsholing are cause for alarm it is of a large sample and it is far better we are finding out now rather then later when there is a full blown spread of hundreds of cases , TenzingLamsang , ,24246,Thimphu 
2020-08-26 05:29:42, PM narendramodi had launched the National DigitalHealthMission on the IndependenceDay2020 Read more about NDHM https t co hhx8nfQEFc AatmaNirbharBharat PMOIndia MEAIndia IndianDiplomacy MoHFW INDIA AyushmanNHA PIB India PTI News wion livemint drharshvardhan https t co ufNUJsaPcu , Indiainbhutan , DigitalHealthMission IndependenceDay2020 AatmaNirbharBharat ,11022,Thimphu 
2020-08-26 05:24:15, COVID19UPDATE Phuntsholing bhutan 5 more Covid19 positive detected through active community surveillance Looking at public opinion on social media seems they want more details not just demographics Total for Bhutan is 173 Active cases at 55 CoronavirusPandemic , kuenzakarma , COVID19UPDATE Phuntsholing bhutan Covid19 Bhutan CoronavirusPandemic ,1387,Thimphu 
2020-08-26 05:20:47, Prize winners of the Digital India AatmaNirbharApp Challenge in the category SOCIAL Chingari and Your Quote and You xf0 x9f x93 xb1 xf0 x9f x87 xae xf0 x9f x87 xb3 Time to start using Apps MadeinIndia by Indian techies AatmaNirbharBharat DigitalIndia PMOIndia MEAIndia IndianDiplomacy livemint WIONews https t co 9a8pcdKkZC , Indiainbhutan , AatmaNirbharApp MadeinIndia AatmaNirbharBharat DigitalIndia ,11022,Thimphu 
2020-08-26 05:19:57, Talakha Goenpa peaceful and serene https t co cyzuqZncBB , pem pa , ,344,Thimphu 
2020-08-26 05:16:20, PhurbaPhuba You are doing the right thing by staying home StayHome BreakTheChain , kuenzakarma , StayHome BreakTheChain ,1387,Thimphu 
2020-08-26 05:10:01, Introducing the FarmerConnect portal a mobile app for connecting farmers to FPOs FPCs amp cooperatives with exporters Aatmanirbharkrishi AatmaNirbharBharat PMOIndia MEAIndia AgriGoI APEDADOC DigitalIndia PIB India WIONews livemint https t co 5jWh5pPwIl , Indiainbhutan , FarmerConnect farmers FPOs FPCs cooperatives Aatmanirbharkrishi AatmaNirbharBharat ,11022,Thimphu 
2020-08-26 05:05:50, What xe2 x80 x99s there in a cup of tea Sharing the two processes of production of black tea Orthodox amp CTC please read on IndianTea PMOIndia MEAIndia DoC GoI teaboardofindia KuenselOnline BBSBhutan PIB India DDNewslive PBNS India https t co y4dS8VOCRG , Indiainbhutan , IndianTea ,11022,Thimphu 
2020-08-26 04:59:09, iDevR9 A generalization Disagree Hierarchy is inherent amp widespread One may view Unresponsive amp Indifferent systems as being archaic amp barbaric Ours is responsive to societal needs amp demonstrates deep care for citizens Wouldn xe2 x80 x99t that be considered civilized , sangaykhandu , ,8006,Thimphu 
2020-08-26 04:02:22, Sangaywk This preface is indeed proud recognizing amp respecting the indigenous people amp their relationship to land amp nature Was it like this from years ago or a recent introduction , pnamgyel , ,658,Thimphu 
2020-08-26 03:55:02, Meet Pema Seldon a foriegn service officer who loves football knowyourshapers shapers shapersthimphu https t co iPshOo4P8c , ShapersThimphu , knowyourshapers shapers shapersthimphu ,21,Thimphu 
2020-08-26 03:53:21, kaihavertz29 DFB Team Please don t get injury during international duty kaihavertz29 , TsheringJatsho , ,15,Thimphu 
2020-08-26 03:35:08, DrArooba1 good morning angel https t co EDqjT7MT1l , SyedSaa1 , ,1546,Thimphu 
2020-08-26 03:19:25, Spatial encounters architecture WangditseTemple ArchitecturalDetails Thimphu BhutaneseDesign Thimphu Bhutan https t co SCAkRCoVc4 , LovenRamos , architecture WangditseTemple ArchitecturalDetails Thimphu BhutaneseDesign ,2124,Bhutan 
2020-08-26 03:09:34, YesheyPanda I can share you my playlist , VinEoithipro , ,13,Bhutan 
2020-08-26 02:18:23, letmispeak Pulitzer stuff , TenzingLamsang , ,24246,Thimphu 
2020-08-26 02:11:26, India xe2 x80 x99s news channels are doing a grave disservice to serious journalism by not exploring the role of aliens xf0 x9f x91 xbd in the SushantSinghRajputDeathCase , TenzingLamsang , SushantSinghRajputDeathCase ,24246,Thimphu 
2020-08-26 02:07:59, AMF ANN It xe2 x80 x99s a border town , TenzingLamsang , ,24246,Thimphu 
2020-08-26 01:56:19, Little bit of guilt of not being one of those front liners and volunteers at this time Comforting myself with three works old office work new office work and household chores including baby sitting , PhurbaPhuba , ,748,Thimphu 
